,title,company,place,salary,publish_time
137,大数据应用方案经理,深圳中讯智慧科技有限公司,深圳-南山区,2-2.5万/月,03-31
138,博士后,深圳市奥拓电子股份有限公司,深圳-南山区,30-40万/年,03-31
139,数据可视化开发工程师,成都威而信实业有限公司,成都-金牛区,0.6-1万/月,03-31
140,高级工程师,贝泰福医疗科技成都有限公司,广州-越秀区,2.5-3万/月,03-31
141,跨境电商数据分析专员,上海南棠实业有限公司,武汉-武昌区,4-7千/月,03-31
142,CRM会员营销专员/主管,上海万趣实业发展有限公司,上海,0.7-1万/月,03-31
143,软件开发高级人员,江苏叁拾叁信息技术有限公司,南京-江宁区,1-1.5万/月,03-31
144,数据分析经理,上海思禾互联网络科技有限公司,上海-静安区,1.5-2万/月,03-31
145,短视频运营,合肥好好先生网络科技有限公司,合肥-蜀山区,4-7千/月,03-31
146,电话销售（绩效奖金+带薪培训）,东莞市祥福房地产代理有限公司,东莞-常平镇,0.8-1万/月,03-31
147,数据分析师,杭州爱德朗电子商务有限公司,杭州-滨江区,0.8-1.5万/月,03-31
148,大数据研发工程师,民航成都信息技术有限公司,成都-武侯区,10-25万/年,03-31
149,人工智能架构师,北海石基信息技术有限公司,长沙-岳麓区,1.5-2.5万/月,03-31
150,Python开发工程师,北京硬盒科技有限公司,上海-杨浦区,1-1.5万/月,03-31
151,大数据工程师,北京科云互联科技有限公司,广州-天河区,1-1.8万/月,03-31
152,客户关系主管,重庆仁星汽车服务有限公司,重庆,0.8-1万/月,03-31
153,数据工程师,香港宏安集团,深圳,1.5-2万/月,03-31
154,Teradata 开发人员,华侨永亨银行（中国）有限公司,深圳-罗湖区,20-30万/年,03-31
155,资深情报信息分析师,北京华文天元信息咨询有限公司,北京-朝阳区,1-1.3万/月,03-31
156,临床医学统计师,至本医疗科技（上海）有限公司,上海-闵行区,2-2.5万/月,03-31
157,商业化变现专员,上海影卓信息科技有限公司,上海-徐汇区,0.8-1.5万/月,03-31
158,数据算法工程师,华域汽车系统股份有限公司,上海-杨浦区,2-2.5万/月,03-31
159,算法模型工程师,广东旭诚科技有限公司,广州-海珠区,1-1.5万/月,03-31
160,日语BI/数据库优化工程师,亿达信息技术有限公司,大连,1-1.5万/月,03-31
161,财务数据分析+五险一金,成都新视角商贸有限公司,成都-双流区,3-4.5千/月,03-31
162,数据分析,广州华钧软件科技有限公司,北京-海淀区,1.5-2万/月,03-31
163,Java开发工程师（排班算法）,上海喔趣信息科技有限公司,无锡,1-2万/月,03-31
164,风险政策主任,广发银行股份有限公司信用卡中心,广州,20-30万/年,03-31
165,数据分析师,无锡红豆居家服饰有限公司,无锡-锡山区,6-8千/月,03-31
166,电商运营经理,盟大集团,东莞-南城区,1-1.5万/月,03-31
167,社交媒体运营总监（短视频方向）,上海微食信息科技有限公司,上海-徐汇区,2-3万/月,03-31
168,数据分析师,深圳市润步科技有限公司,深圳-龙岗区,0.6-1万/月,03-31
169,房产业务评估专员（上市集团）,瑞庭网络技术（上海）有限公司深圳...,深圳,0.8-1.4万/月,03-31
170,运营总监,上海神雁生物科技有限公司,上海-松江区,3-4万/月,03-31
171,系统软件工程师,凌云光技术集团工业视觉事业部,苏州-工业园区,2.5-3万/月,03-31
172,数据主管/专员-销售渠道BU,上海吉凯基因医学科技股份有限公司...,上海,7-9千/月,03-31
173,大数据开发工程师,广东长天思源环保科技股份有限公司...,佛山,1.5-2万/月,03-31
174,JAVA开发工程师,北京归去来兮文化发展有限公司,武汉,0.8-1万/月,03-31
175,SBO运维工程师,广州市哲居家居用品有限公司,广州-海珠区,7-9千/月,03-31
176,电话销售数据专员,清控紫荆（北京）教育科技股份有限...,北京-海淀区,0.7-1.2万/月,03-31
177,大数据开发工程师,大参林医药集团股份有限公司,广州,6-8千/月,03-31
178,架构师（物联网数据中台）,广东省电信规划设计院有限公司,广州,2.5-3万/月,03-31
179,阿里巴巴国际站运营,广东爱森饰品有限公司,广州-荔湾区,0.5-1.5万/月,03-31
180,数据分析师,广西斯达市场信息咨询有限公司,南宁,4-6千/月,03-31
181,猎头顾问Consultant--汽车制造,苏州法思格纳企业管理咨询有限公司...,苏州-高新区,0.8-1万/月,03-31
182,云平台架构岗,浙江合众新能源汽车有限公司,上海-闵行区,2-2.5万/月,03-31
183,Amazon推广专员,上海赢他网络科技有限公司,上海-浦东新区,1-1.5万/月,03-31
184,广点通广告投放,广州白泽网络科技有限公司,广州-天河区,0.6-1.2万/月,03-31
185,大数据算法工程师,武汉博晟信息科技有限公司,武汉-洪山区,0.8-1万/月,03-31
186,猎头顾问助理,上海砺群科技有限公司,上海-嘉定区,6-8千/月,03-31
187,数据分析师(J10109),上海舞泡网络科技有限公司,上海-闵行区,1.5-2万/月,03-31
188,数据bi工程师,广东翔达体育休闲运动有限公司,广州-天河区,1-1.5万/月,03-31
189,风控数据分析师-反欺诈,深圳白骑士科技有限公司,深圳-南山区,1-2万/月,03-31
190,BI Engineer,雅智捷（上海）企业管理有限公司,上海-静安区,20-30万/年,03-31
191,成本会计（成本分析）,上海仁度生物科技有限公司,上海,0.8-1万/月,03-31
192,新媒体策划运营,高新教育集团,异地招聘,0.7-1.2万/月,03-31
193,大数据开发工程师,福建锐华有限公司,福州-仓山区,10-30万/年,03-31
194,大数据开发工程师,福建通力达实业有限公司,福州,0.8-1.2万/月,03-31
195,海外网站运营,深圳市瑞云科技有限公司,深圳-南山区,0.8-1.1万/月,03-31
196,算法工程师,浙江宇松科技股份有限公司,杭州,1-1.5万/月,03-31
