,title,company,place,salary,publish_time
7742,金融港：（双休）电话催收专员6000-12000,南京亿咖科技有限公司,合肥-滨湖新区,0.6-1.2万/月,10-06
7743,电话催收专员/6000-8000（包住）,南京亿咖科技有限公司,无锡-无锡新区,6-8千/月,10-06
7744,做四休一：催收专员（不加班）,南京亿咖科技有限公司,武汉-东西湖区,3-6千/月,10-06
7745,双休：催收专员6000-10000,南京亿咖科技有限公司,合肥-滨湖新区,0.6-1万/月,10-06
7746,做四休一（不加班）：催收专员4-7k,南京亿咖科技有限公司,武汉-东西湖区,3-6千/月,10-06
7747,急急急 高薪诚聘催收专员+无责底薪,信达利（福州）企业管理咨询有限公...,成都-武侯区,0.8-1万/月,10-06
7748,电话催收专员+无责底薪,信达利（福州）企业管理咨询有限公...,成都-武侯区,6-8千/月,10-06
7749,电话催收专员,信达利（福州）企业管理咨询有限公...,异地招聘,6-8千/月,10-06
7750,银行信贷催收专员,信达利（福州）企业管理咨询有限公...,成都-武侯区,0.8-1万/月,10-06
7751,催收专员,信达利（福州）企业管理咨询有限公...,成都-武侯区,6-8千/月,10-06
7752,银行信贷催收专员+无责底薪,信达利（福州）企业管理咨询有限公...,成都-武侯区,4.5-6千/月,10-06
7753,台江区--账单提醒客服--风控-催收专员,云尚科技,福州-台江区,0.8-1万/月,10-06
7754,催收专员（浑南新区）,深圳通联金融网络科技服务有限公司...,沈阳-浑南区,3.5-4千/月,10-05
7755,招联贷款催收专员月休8天,深圳市杰之龙通信技术有限公司,深圳-南山区,0.5-1万/月,10-05
7756,底薪2700催收专员+月休8天,云尚科技,福州-台江区,0.8-1万/月,10-04
7757,月薪8k +M1催收专员+风控-账单提醒,云尚科技,武汉-硚口区,0.8-1万/月,10-04
7758,电话催收专员,深圳通联金融网络科技服务有限公司...,沈阳-浑南区,3.5-4千/月,10-04
7759,电话催收专员,深圳通联金融网络科技服务有限公司...,沈阳-浑南区,3-4.5千/月,10-04
7760,电话催收专员,深圳通联金融网络科技服务有限公司...,沈阳-浑南区,4.5-6千/月,10-04
7761,信用卡催收专员,石家庄氐宿企业管理咨询有限公司,异地招聘,6-8千/月,10-04
7762,银行催收专员4k,深圳通联金融网络科技服务有限公司...,沈阳-浑南区,5-7千/月,10-03
7763,银行催收专员,深圳通联金融网络科技服务有限公司...,沈阳-浑南区,4-7千/月,10-03
7764,交行催收专员7K,深圳通联金融网络科技服务有限公司...,沈阳-浑南区,3-4.5千/月,10-03
7765,催收专员,深圳通联金融网络科技服务有限公司...,沈阳-浑南区,3-4.5千/月,10-03
7766,拍拍贷内催催收专员+底薪3800入职购买五险一金,合肥利鸣信息技术有限公司,合肥-滨湖新区,0.8-1万/月,10-01
7767,底薪4200中国银行催收专员客服，入职五险一金双休,合肥利鸣信息技术有限公司,合肥-滨湖新区,0.8-1万/月,10-01
7768,底薪4000蚂蚁借呗M0催收专员客服，入职五险一金双休,合肥利鸣信息技术有限公司,合肥-滨湖新区,6-8千/月,10-01
7769,电话催收专员6-8K/朝九晚六 双休,武汉市新鸿信企业管理咨询有限公司...,武汉-洪山区,6-8千/月,10-01
7770,软件园/金融港电话客服催收专员/无责底薪4200起+提成,武汉市新鸿信企业管理咨询有限公司...,武汉-江夏区,6-8千/月,10-01
7771,底薪4300京东白条催收专员客服，入职五险一金,合肥利鸣信息技术有限公司,合肥-蜀山区,6-8千/月,10-01
7772,京东白条催收专员客服，底薪4300入职五险一金,合肥利鸣信息技术有限公司,合肥-蜀山区,0.6-1万/月,10-01
7773,拍拍贷金融内催M0催收专员+底薪3800入职六险一金,合肥利鸣信息技术有限公司,合肥-滨湖新区,0.6-1万/月,10-01
7774,中国银行催收专员客服，底薪4200入职五险一金双休,合肥利鸣信息技术有限公司,合肥-滨湖新区,6-8千/月,10-01
7775,中国银行催收专员客服，底薪4200入职五险一金双休,合肥利鸣信息技术有限公司,合肥-滨湖新区,0.6-1万/月,10-01
7776,底薪4300京东白条催收专员客服，无销售五险一金,合肥利鸣信息技术有限公司,合肥-蜀山区,6-8千/月,10-01
7777,电话催收专员,湖南瑞龙信息管理有限公司,长沙-芙蓉区,3-8千/月,10-01
7778,西湖区双休4K+催收专员,杭州华元广告策划有限公司,杭州-西湖区,4-6千/月,09-30
7779,催收专员,宁波莱珂逊企业管理咨询有限公司广...,广州-天河区,4.5-6千/月,09-30
7780,电话催收专员/客服助理,宁波莱珂逊企业管理咨询有限公司广...,广州-天河区,6-8千/月,09-30
7781,电话催收专员,杭州梵奈思企业管理有限公司,杭州-萧山区,5-8千/月,09-30
7782,甲方催收专员（保底3200+七险一金）,西安四翼网络科技有限公司,武汉-硚口区,6-8千/月,09-30
7783,底薪4.4K起银行电话催收专员,深圳市都给力数码科技有限公司,深圳-福田区,0.8-1万/月,09-29
7784,信用卡催收专员无责任底薪4400+五险一金,深圳市都给力数码科技有限公司,深圳-福田区,0.8-1万/月,09-29
7785,薪资8500催收专员/信用卡逾期提醒客服（包住）,深圳市都给力数码科技有限公司,深圳-福田区,0.8-1万/月,09-29
7786,风险控制/电话催收专员/包住保底4400,深圳市都给力数码科技有限公司,深圳-福田区,0.8-1万/月,09-29
7787,风控客服/电话催收/催收专员（包住）,深圳市都给力数码科技有限公司,深圳-福田区,0.8-1万/月,09-29
7788,高提成信用卡催收专员+五险一金+朝九晚六+班车接送,深圳通联金融网络科技服务有限公司...,合肥-滨湖新区,5-8千/月,09-29
7789,催收专员/无销售6K+上六休一,成都南石教育科技有限公司,成都-锦江区,6-8千/月,09-29
7790,催收专员+底薪3K+双休,宁波莱珂逊企业管理咨询有限公司广...,广州-天河区,6-8千/月,09-29
7791,催收专员 做五休二+餐费补助+月薪8000起,上海谋宏信息科技有限公司,上海-浦东新区,0.8-1万/月,09-29
7792,催收专员 做五休二+餐费补助+月薪8000起,上海谋宏信息科技有限公司,上海-浦东新区,0.8-1万/月,09-29
7793,催收专员 做五休二+月薪8000起+下午茶,上海谋宏信息科技有限公司,上海-浦东新区,0.8-1万/月,09-29
7794,信用卡催收/催收专员 月薪8000起+做五休二,上海谋宏信息科技有限公司,上海-浦东新区,0.8-1万/月,09-29
