,title,company,place,salary,publish_time
825,银行客服,CBC(北京)信用管理有限公司江苏分...,南京,0.8-1万/月,11-25
826,外企金融业务员,CBC(北京)信用管理有限公司江苏分...,南京,6-8千/月,11-25
827,7000招售后客服,CBC(北京)信用管理有限公司江苏分...,南京,0.8-1万/月,11-25
828,6-8K客服专员+五险一金,CBC(北京)信用管理有限公司江苏分...,南京,6-8千/月,11-25
829,（月薪8K+五险一金+高提成）电话催收专员,河南智赢企业信用评估有限公司,郑州,0.8-1万/月,11-25
830,资产管理员（月薪8K+五险一金+高提成）,河南智赢企业信用评估有限公司,郑州,0.8-1万/月,11-25
831,资产管理员 五险一金、国外游,河南智赢企业信用评估有限公司,郑州,0.8-1万/月,11-25
832,资产管理员,河南智赢企业信用评估有限公司,郑州,0.8-1万/月,11-25
833,催收主管,河南智赢企业信用评估有限公司,郑州,0.8-1万/月,11-25
834,电话催收专员,河南智赢企业信用评估有限公司,郑州,0.8-1万/月,11-25
835,催收专员,河南智赢企业信用评估有限公司,郑州,0.8-1万/月,11-25
836,美资+透明晋升+电话催收,华睿信（北京）金融服务外包有限公...,成都-金牛区,6-8千/月,11-25
837,国美金融M1双休催收客服7千+电话客服+文员,安徽斯摩恩信息科技有限公司,郑州-金水区,6-8千/月,11-25
838,国美金融M1双休催收客服7千+电话客服+文员,安徽斯摩恩信息科技有限公司,郑州-金水区,6-8千/月,11-25
839,逾期提醒（电话催收专员）/小额信贷催收/月入8K金融港,武汉市优信捷信息科技有限公司,武汉-江夏区,6-8千/月,11-25
840,国美金融M1双休催收客服7千+电话客服+文员,安徽斯摩恩信息科技有限公司,郑州-金水区,6-8千/月,11-25
841,电话客服（非销售性质）天安云谷,杭州德臻信息咨询服务有限公司深圳...,深圳-龙岗区,0.6-1.2万/月,11-25
842,软件园/金融港/电话催收/客服 月均8000/不加班,深圳市鸿泰企业管理有限公司,武汉-洪山区,0.8-1万/月,11-25
843,国美金融M1双休催收客服7千+电话客服+文员,安徽斯摩恩信息科技有限公司,郑州-金水区,6-8千/月,11-25
844,催收专员,湖北中亿拓博企业管理咨询有限公司...,武汉-江夏区,0.8-1.5万/月,11-25
845,电话催收,湖北中亿拓博企业管理咨询有限公司...,武汉-江夏区,1-1.5万/月,11-25
846,催收客服,湖北中亿拓博企业管理咨询有限公司...,武汉-江夏区,1-1.5万/月,11-25
847,电话催收专员,湖北中亿拓博企业管理咨询有限公司...,武汉-江夏区,0.8-1万/月,11-25
848,徐东催收客服,湖北中亿拓博企业管理咨询有限公司...,武汉-洪山区,0.8-1.6万/月,11-25
849,招联催收专员（社保+高薪）,深圳市深创联金融服务有限公司武汉...,武汉,0.6-1.2万/月,11-25
850,电话客服双休月薪8000以上,深圳市深创联金融服务有限公司武汉...,武汉,0.8-1万/月,11-25
851,催收专员+社保+高薪提成+地铁口,深圳市深创联金融服务有限公司武汉...,武汉,0.8-1万/月,11-25
852,销售高底薪提成+社保,深圳市深创联金融服务有限公司武汉...,武汉,0.8-1万/月,11-25
853,电话客服专员,深圳市深创联金融服务有限公司武汉...,武汉,4-6千/月,11-25
