,title,company,place,salary,publish_time
182,数据挖掘与分析工程师,昂坤视觉（北京）科技有限公司,北京-昌平区,1.5-3万/月,03-29
183,数据挖掘工程师,绿瘦健康产业集团有限公司,广州-荔湾区,1.5-2.5万/月,03-29
184,数据挖掘工程师/数据建模师,即科金融信息服务（上海）有限公司...,上海-杨浦区,1-1.5万/月,03-29
185,数据挖掘开发,南京巨美生活信息科技有限公司,深圳-福田区,1-2.5万/月,03-28
186,数据挖掘工程师,格创东智（深圳）科技有限公司,深圳-南山区,2-3万/月,03-27
187,高级数据挖掘工程师,T3出行,南京-江宁区,1.5-3万/月,03-27
188,高级数据挖掘,杭州拓云计算机信息系统有限公司,杭州-西湖区,2.5-3.5万/月,03-27
189,数据挖掘与AI应用解决方案架构师,华为技术有限公司,深圳-龙岗区,3.2-6万/月,03-27
190,材料科学大数据挖掘与信息研究员,崇研科技成都有限公司,成都-高新区,0.6-1.3万/月,03-27
191,博士（数据挖掘或信息安全方向）,信雅达系统工程股份有限公司,杭州,,03-27
192,综合运营岗（数据挖掘方向）,京东商城,北京-大兴区,1-1.5万/月,03-27
193,数据挖掘G05048,新浪微博,北京,1.5-2万/月,03-27
194,数据挖掘工程师,中国医药工业信息中心,上海-静安区,1-1.5万/月,03-26
195,算法工程师（企业大数据挖掘方向）- 技术部,中科云谷科技有限公司,上海-杨浦区,1.5-3.5万/月,03-26
196,数据挖掘分析师,北京讯腾智慧科技股份有限公司,北京,1-1.6万/月,03-26
197,数据挖掘工程师,广州广电运通金融电子股份有限公司...,广州,2-4万/月,03-26
198,数据挖掘工程师（研发中心）,焦点科技股份有限公司,南京-浦口区,1.2-2万/月,03-26
199,数据挖掘工程师,赛纳生物科技（北京）有限公司,北京,1-1.5万/月,03-25
200,数据挖掘,合肥天源迪科信息技术有限公司,合肥-高新区,0.8-1万/月,03-25
201,数据挖掘工程师,广州君海网络科技有限公司,广州-海珠区,1-1.5万/月,03-25
202,深度学习工程师/ 数据建模工程师/ 数据挖掘工程师,中国石油天然气管道工程有限公司,成都,15-24万/年,03-25
203,数据挖掘高级工程师,阳光电源股份有限公司,合肥-高新区,20-35万/年,03-25
204,数据挖掘与分析师,成都恒图教育咨询有限公司,成都-青羊区,300元/天,03-25
205,数据挖掘工程师,广州艾媒数聚信息咨询股份有限公司...,广州-番禺区,10-18万/年,03-24
206,数据挖掘工程师,中国汽车工程研究院股份有限公司,重庆-渝北区,0.8-1.5万/月,03-24
207,SCADA数据挖掘工程师,北京鉴衡认证中心有限公司,北京,1.5-2万/月,03-24
208,算法工程师/数据挖掘工程师,浙江爱旭太阳能科技有限公司,异地招聘,1-2万/月,03-23
209,大数据挖掘工程师,佛山市三技精密机械有限公司,异地招聘,1-1.5万/月,03-23
210,数据挖掘工程师,北京燕昆石油科技发展有限责任公司...,北京,1.5-2万/月,03-23
211,AI数据挖掘工程师,丹华水利环境技术（上海）有限公司...,上海-徐汇区,1-2万/月,03-23
212,数据挖掘工程师,珀莱雅化妆品股份有限公司,杭州-西湖区,12-18万/年,03-23
213,AI或数据挖掘岗,卓望信息技术（北京）有限公司,北京-丰台区,0.9-1.5万/月,03-23
214,AI或数据挖掘岗,卓望信息技术（北京）有限公司,北京,0.9-1.5万/月,03-23
215,数据挖掘总监,四川华西集采电子商务有限公司,成都,20-40万/年,03-23
216,数据挖掘算法工程师,上海白虹软件科技股份有限公司,武汉-武昌区,1-2万/月,03-23
217,数据挖掘和数据库工程师,混沌天成期货股份有限公司,上海-浦东新区,1.5-2万/月,03-23
218,数据挖掘工程师,焦点科技股份有限公司,南京,,03-23
219,YJR-数据挖掘资深工程师(投研数据规划),深圳前海微众银行股份有限公司,深圳,3.5-5万/月,03-21
220,数据挖掘工程师,深圳思特奇信息技术有限公司,广州-天河区,1.2-1.5万/月,03-21
